DisplayID,TextureType,TexturePath
33112,11,creature\manawyrm2mount\manawyrm2mount_body_white.blp
33112,12,creature\manawyrm2mount\manawyrm2mount_glow1_white.blp
33112,13,creature\manawyrm2mount\manawyrm2mount_glow2_white.blp
33112,4,creature\manawyrm2mount\manawyrm2mount_armor_1.blp
33113,11,creature\manawyrm2mount\manawyrm2mount_body_blue.blp
33113,12,creature\manawyrm2mount\manawyrm2mount_glow1_blue.blp
33113,13,creature\manawyrm2mount\manawyrm2mount_glow2_blue.blp
33113,4,creature\manawyrm2mount\manawyrm2mount_armor_2.blp
33114,11,creature\manawyrm2mount\manawyrm2mount_body_green.blp
33114,12,creature\manawyrm2mount\manawyrm2mount_glow1_green.blp
33114,13,creature\manawyrm2mount\manawyrm2mount_glow2_green.blp
33114,4,creature\manawyrm2mount\manawyrm2mount_armor_green.blp
33115,11,creature\tindralmoonkin\tindralmoonkin_body_NE.blp
33115,12,creature\tindralmoonkin\tindralmoonkin_antlers_NE.blp
33115,13,creature\tindralmoonkin\tindralmoonkin_jewelry_NE.blp
33115,4,creature\tindralmoonkin\tindralmoonkin_glow_Azure_Strong.blp
33116,11,creature\tindralmoonkin\tindralmoonkin_body_gold.blp
33116,12,creature\tindralmoonkin\tindralmoonkin_antlers_5369294.blp
33116,13,creature\tindralmoonkin\tindralmoonkin_jewelry_gold.blp
33116,4,creature\tindralmoonkin\tindralmoonkin_glow_5369286.blp
33117,11,creature\tindralmoonkin\tindralmoonkin_body_white.blp
33117,12,creature\tindralmoonkin\OwlBearWhiteSkin2_antlers.blp
33117,13,creature\tindralmoonkin\OwlBearWhiteSkin2_jewelry.blp
33117,4,creature\tindralmoonkin\tindralmoonkin_glow_5369288.blp
33118,11,creature\tindralmoonkin\tindralmoonkin_body_Raven.blp
33118,12,creature\tindralmoonkin\tindralmoonkin_antlers_Dark.blp
33118,13,creature\tindralmoonkin\tindralmoonkin_jewelry_Dark.blp
33118,4,creature\tindralmoonkin\tindralmoonkin_glow_Purple_Strong.blp
