DisplayID,ModelColumn,TextureType,TexturePath
71017,0,2,item\objectcomponents\Weapon\staff_2h_ulatek_d_01_teal.blp
71017,0,3,item\objectcomponents\Weapon\staff_2h_ulatek_d_01_7552272.blp
71017,0,4,item\objectcomponents\Weapon\knife_1h_ulatek_d_01_7702701.blp
71017,0,24,item\objectcomponents\Weapon\knife_1h_ulatek_d_01_7704392.blp
71018,0,2,item\objectcomponents\weapon\staff_2h_ulatek_d_02_blue.blp
71018,0,3,item\objectcomponents\weapon\staff_2h_ulatek_d_02_7502450.blp
71018,0,4,item\objectcomponents\weapon\knife_1h_ulatek_d_01_7702704.blp
71018,0,24,item\objectcomponents\weapon\knife_1h_ulatek_d_01_7704392.blp
71027,0,2,item\objectcomponents\weapon\staff_2h_ulatek_d_01_CustomPink.blp
71027,0,3,item\objectcomponents\weapon\staff_2h_ulatek_d_01_CustomPink2.blp
71027,0,4,item\objectcomponents\weapon\knife_1h_ulatek_d_01_CustomPink.blp
71027,0,24,item\objectcomponents\weapon\knife_1h_ulatek_d_01_CustomPink_Reflect.blp
71028,0,2,item\objectcomponents\Shield\shield_1h_emeralddreamraid_d_02_blue.blp
71028,0,3,item\objectcomponents\Shield\shield_1h_emeralddreamraid_d_02_5224475.blp
71028,0,4,item\objectcomponents\Shield\shield_1h_emeralddreamraid_d_01_5279833.blp
71029,0,2,item\objectcomponents\Weapon\offhand_1h_dragonraid_d_01_green.blp
71029,0,3,item\objectcomponents\Weapon\offhand_1h_dragonraid_d_01_4685973.blp
71030,0,2,item\objectcomponents\Weapon\bow_1h_ulatek_d_01_orange.blp
71030,0,3,item\objectcomponents\Weapon\bow_1h_ulatek_d_01_7488512.blp
71030,0,4,item\objectcomponents\Weapon\knife_1h_ulatek_d_01_7702705.blp
71030,0,24,item\objectcomponents\weapon\knife_1h_ulatek_d_01_7704393.blp
