DisplayID,ModelIndex,ModelColumn,Model,TextureType,Folder,Texture,TargetMode
71017,0,ModelName_1,staff_2h_ulatek_d_01.mdx,2,Weapon,staff_2h_ulatek_d_01_teal,SkinMapOnly
71017,0,ModelName_1,staff_2h_ulatek_d_01.mdx,3,Weapon,staff_2h_ulatek_d_01_7552272,SkinMapOnly
71017,0,ModelName_1,staff_2h_ulatek_d_01.mdx,4,Weapon,knife_1h_ulatek_d_01_7702701,SkinMapOnly
71017,0,ModelName_1,staff_2h_ulatek_d_01.mdx,24,Weapon,knife_1h_ulatek_d_01_7704392,SkinMapOnly
71018,0,ModelName_1,staff_2h_ulatek_d_02.mdx,2,Weapon,staff_2h_ulatek_d_02_blue,SkinMapOnly
71018,0,ModelName_1,staff_2h_ulatek_d_02.mdx,3,Weapon,staff_2h_ulatek_d_02_7502450,SkinMapOnly
71018,0,ModelName_1,staff_2h_ulatek_d_02.mdx,4,Weapon,knife_1h_ulatek_d_01_7702704,SkinMapOnly
71018,0,ModelName_1,staff_2h_ulatek_d_02.mdx,24,Weapon,knife_1h_ulatek_d_01_7704392,SkinMapOnly
71019,0,ModelName_1,helm_leather_raiddruidmidnight_d_01.mdx,2,Head,helm_leather_raiddruidmidnight_d_01_green,SkinMapOnly
71019,0,ModelName_1,helm_leather_raiddruidmidnight_d_01.mdx,2,Collections,leather_raiddruidethereal_d_01_be_m_7446206,SkinMapOnly
71019,0,ModelName_1,helm_leather_raiddruidmidnight_d_01.mdx,4,Collections,leather_raiddruidethereal_d_01_be_m_7452301,SkinMapOnly
71020,0,ModelName_1,shoulder_leather_raiddruidmidnight_d_01_l.mdx,2,Shoulder,shouldereather_raiddruidmidnight_d_01_green,SkinMapOnly
71020,0,ModelName_1,shoulder_leather_raiddruidmidnight_d_01_l.mdx,2,Shoulder,shouldereather_raiddruidmidnight_d_01_green,SkinMapOnly
71020,0,ModelName_1,shoulder_leather_raiddruidmidnight_d_01_l.mdx,4,Shoulder,shoulder_leather_raiddruidmidnight_d_01_l_7452312,SkinMapOnly
71020,1,ModelName_2,shoulder_leather_raiddruidmidnight_d_01_r.mdx,2,Shoulder,shouldereather_raiddruidmidnight_d_01_green,SkinMapOnly
71020,1,ModelName_2,shoulder_leather_raiddruidmidnight_d_01_r.mdx,2,Shoulder,shouldereather_raiddruidmidnight_d_01_green,SkinMapOnly
71020,1,ModelName_2,shoulder_leather_raiddruidmidnight_d_01_r.mdx,4,Shoulder,shoulder_leather_raiddruidmidnight_d_01_l_7452312,SkinMapOnly
71021,0,ModelName_1,pant_leather_raiddruidmidnight_d_01.mdx,2,Collections,pant_leather_raiddruidmidnight_d_01_green,SlotGeosets
71021,0,ModelName_1,pant_leather_raiddruidmidnight_d_01.mdx,4,Collections,pant_leather_raiddruidmidnight_d_01_be_m_7446064,SlotGeosets
71022,0,ModelName_1,belt_leather_raiddruidmidnight_d_01.mdx,2,Collections,leather_raiddruidethereal_d_01_7445945,SkinMapOnly
71022,0,ModelName_1,belt_leather_raiddruidmidnight_d_01.mdx,3,Collections,leather_raiddruidethereal_d_01_7445950,SkinMapOnly
71026,0,ModelName_1,pant_leather_raiddruidmidnight_d_01.mdx,2,Collections,pant_leather_raiddruidmidnight_d_01_green,SlotGeosets
71026,0,ModelName_1,pant_leather_raiddruidmidnight_d_01.mdx,3,Collections,pant_leather_raiddruidmidnight_d_01_be_m_7446064,SlotGeosets
