DisplayID,ItemID,Slot,Layer,Side,Folder,Model,Texture,Geosets,Attach,SuffixPolicy,TexturePolicy,Flags
71017,,,Base,C,MainHand,staff_2h_ulatek_d_01.mdx,staff_2h_ulatek_d_01_blue,,,DBC,Exact,
71019,,Head,Base,C,Head,helm_leather_raiddruidmidnight_d_01.mdx,helm_leather_raiddruidmidnight_d_01_green,,11,DBC,Exact,
71020,,Shoulder,Base,L,Shoulder,shoulder_leather_raiddruidmidnight_d_01_l.mdx,,,6,DBC,Exact,
71020,,Shoulder,Base,R,Shoulder,shoulder_leather_raiddruidmidnight_d_01_r.mdx,,,5,DBC,Exact,
71021,,Leg,Base,C,Collections,pant_leather_raiddruidmidnight_d_01.mdx,pant_leather_raiddruidmidnight_d_01_green,1301,9,DBC,Exact,
71022,,Waist,Base,C,Collections,belt_leather_raiddruidmidnight_d_01.mdx,leather_raiddruidethereal_d_01_7445941,,53,DBC,Exact,
723855,,Leg,Base,C,Collections,pant_leather_raiddruidmidnight_d_01.mdx,pant_leather_raiddruidmidnight_d_01_be_m_7446046,1301,9,DBC,Exact,
723857,,Leg,Base,C,Collections,pant_leather_raiddruidmidnight_d_01.mdx,pant_leather_raiddruidmidnight_d_01_be_m_7446046,1301,9,DBC,Exact,
723858,,Leg,Base,C,Collections,pant_leather_raiddruidmidnight_d_01.mdx,pant_leather_raiddruidmidnight_d_01_be_m_7446046,1301,9,DBC,Exact,
723860,,Leg,Base,C,Collections,pant_leather_raiddruidmidnight_d_01.mdx,pant_leather_raiddruidmidnight_d_01_be_m_7446046,1301,9,DBC,Exact,
